year,driverRef,constructorRef,grid,position,driverName,constructorName
2005,trulli,toyota,2,2.0,Jarno Trulli,Toyota
2005,heidfeld,williams,10,3.0,Nick Heidfeld,Williams
2005,montoya,mclaren,11,4.0,Juan Pablo Montoya,McLaren
2005,ralf_schumacher,toyota,5,5.0,Ralf Schumacher,Toyota
2005,coulthard,red_bull,8,6.0,David Coulthard,Red Bull
2005,michael_schumacher,ferrari,13,7.0,Michael Schumacher,Ferrari
2005,klien,red_bull,7,8.0,Christian Klien,Red Bull
2005,raikkonen,mclaren,6,9.0,Kimi Räikkönen,McLaren
2005,massa,sauber,14,10.0,Felipe Massa,Sauber
2005,karthikeyan,jordan,17,11.0,Narain Karthikeyan,Jordan
2005,monteiro,jordan,18,12.0,Tiago Monteiro,Jordan
2005,albers,minardi,19,13.0,Christijan Albers,Minardi
2004,michael_schumacher,ferrari,1,1.0,Michael Schumacher,Ferrari
2004,montoya,williams,4,2.0,Juan Pablo Montoya,Williams
2004,button,bar,6,3.0,Jenson Button,BAR
2004,barrichello,ferrari,3,4.0,Rubens Barrichello,Ferrari
2004,trulli,renault,8,5.0,Jarno Trulli,Renault
2004,coulthard,mclaren,9,6.0,David Coulthard,McLaren
2004,alonso,renault,19,7.0,Fernando Alonso,Renault
2004,massa,sauber,11,8.0,Felipe Massa,Sauber
2004,matta,toyota,10,9.0,Cristiano da Matta,Toyota
2004,klien,jaguar,13,10.0,Christian Klien,Jaguar
2004,fisichella,sauber,12,11.0,Giancarlo Fisichella,Sauber
2004,panis,toyota,14,12.0,Olivier Panis,Toyota
2004,pantano,jordan,18,13.0,Giorgio Pantano,Jordan
2004,bruni,minardi,16,14.0,Gianmaria Bruni,Minardi
2004,sato,bar,20,15.0,Takuma Sato,BAR
2004,baumgartner,minardi,17,16.0,Zsolt Baumgartner,Minardi
2003,raikkonen,mclaren,7,1.0,Kimi Räikkönen,McLaren
2003,barrichello,ferrari,5,2.0,Rubens Barrichello,Ferrari
2003,alonso,renault,1,3.0,Fernando Alonso,Renault
2003,ralf_schumacher,williams,17,4.0,Ralf Schumacher,Williams
2003,trulli,renault,2,5.0,Jarno Trulli,Renault
2003,michael_schumacher,ferrari,3,6.0,Michael Schumacher,Ferrari
2003,button,bar,9,7.0,Jenson Button,BAR
2003,heidfeld,sauber,6,8.0,Nick Heidfeld,Sauber
2003,frentzen,sauber,13,9.0,Heinz-Harald Frentzen,Sauber
2003,firman,jordan,20,10.0,Ralph Firman,Jordan
2003,matta,toyota,11,11.0,Cristiano da Matta,Toyota
2003,montoya,williams,8,12.0,Juan Pablo Montoya,Williams
2003,verstappen,minardi,18,13.0,Jos Verstappen,Minardi
2002,ralf_schumacher,williams,4,1.0,Ralf Schumacher,Williams
2002,montoya,williams,2,2.0,Juan Pablo Montoya,Williams
2002,michael_schumacher,ferrari,1,3.0,Michael Schumacher,Ferrari
